Time,Message
2017/03/16 18:49:17,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:17,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:17,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:17,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:17,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:17,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:17,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:17,"Check order again 1! 419, 9398"
2017/03/16 18:49:17,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:17,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
2017/03/16 18:49:17,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:17,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:17,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:17,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:17,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:17,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:17,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:17,"Check order again 1! 419, 9398"
2017/03/16 18:49:17,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:17,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
2017/03/16 18:49:17,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:17,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:17,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:17,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:17,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:17,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:17,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:17,"Next Order : 420, SO_ID=9399, SORT_Key=2, Station=07"
2017/03/16 18:49:17,number of download order : 10
2017/03/16 18:49:18,"Download Order : 2, 0, IPI_MCA17_01_L, 8604, MS249037-1 9, IU002 WHITE"
2017/03/16 18:49:19,"Download Order : 6, 0, IPI_MCA17_01_R, 8625, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:49:20,"Download Order : 15, 0, IPI_MCA17_02_R, 8658, MS249037-1 14, IU002 WHITE"
2017/03/16 18:49:21,"Download Order : 315, 0, IPI_MCA17_03_L, 9260, MS249037-1 10, IU002 WHITE"
2017/03/16 18:49:22,"Download Order : 322, 0, IPI_MCA17_03_R, 9268, MS249037-1 12, IU002 WHITE"
2017/03/16 18:49:23,"Download Order : 33, 1, IPI_MCA17_05_L, 8741, MS249037-1 9, IU002 WHITE"
2017/03/16 18:49:24,"Download Order : 37, 1, IPI_MCA17_05_R, 8761, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:49:25,"Download Order : 43, 1, IPI_MCA17_06_L, 8773, MS249037-1 10, IU002 WHITE"
2017/03/16 18:49:26,"Download Order : 52, 1, IPI_MCA17_06_R, 8795, MS249037-1 9T, IU002 WHITE"
2017/03/16 18:49:27,"Download Order : 420, 1, IPI_MCA17_07_L, 9399, MS249037-1 11T, IU002 WHITE"
2017/03/16 18:49:28,"9, Normal Act Count Row : 37, 3, 2, 3, 3, prs_qty=1, door=4"
2017/03/16 18:49:28,GetActual error : Variant or safe array index out of bounds
2017/03/16 18:49:28,"0, Normal Act Count Row : 2, 4, 1, 9, 9, prs_qty=3, door=0"
